Iteration 0: Weight 0; Strategy Change = 0.131378
Iteration 437: Weight 426.322; Strategy Change = 4.81052e-09
Iteration 438: Weight 427.317; Strategy Change = 4.7781e-09
Iteration 439: Weight 428.312; Strategy Change = 4.74596e-09
Iteration 440: Weight 429.308; Strategy Change = 4.71411e-09
Iteration 441: Weight 430.303; Strategy Change = 4.68255e-09
Iteration 442: Weight 431.299; Strategy Change = 4.65127e-09
Iteration 443: Weight 432.294; Strategy Change = 4.62027e-09
Iteration 444: Weight 433.29; Strategy Change = 4.58954e-09
Iteration 445: Weight 434.285; Strategy Change = 4.55909e-09
Iteration 446: Weight 435.281; Strategy Change = 4.52891e-09
